Somaliland,Hargeisa,9.55,44.050000,NULL,Africa
South Georgia and South Sandwich Islands,King Edward Point,-54.283333,-36.500000,GS,Antarctica
French Southern and Antarctic Lands,Port-aux-Français,-49.35,70.216667,TF,Antarctica
Palestine,Jerusalem,31.766666666666666,35.233333,PS,Asia
Aland Islands,Mariehamn,60.116667,19.900000,AX,Europe
Nauru,Yaren,-0.5477,166.920867,NR,Australia
Saint Martin,Marigot,18.0731,-63.082200,MF,North America
Tokelau,Atafu,-9.166667,-171.833333,TK,Australia
Western Sahara,El-Aaiún,27.153611,-13.203333,EH,Africa
Afghanistan,Kabul,34.516666666666666,69.183333,AF,Asia
Albania,Tirana,41.31666666666667,19.816667,AL,Europe
Algeria,Algiers,36.75,3.050000,DZ,Africa
American Samoa,Pago Pago,-14.266666666666667,-170.700000,AS,Australia
Andorra,Andorra la Vella,42.5,1.516667,AD,Europe
Angola,Luanda,-8.833333333333334,13.216667,AO,Africa
Anguilla,The Valley,18.216666666666665,-63.050000,AI,North America
Antigua and Barbuda,Saint John's,17.116666666666667,-61.850000,AG,North America
Argentina,Buenos Aires,-34.583333333333336,-58.666667,AR,South America
Armenia,Yerevan,40.166666666666664,44.500000,AM,Europe
Aruba,Oranjestad,12.516666666666667,-70.033333,AW,North America
Australia,Canberra,-35.266666666666666,149.133333,AU,Australia
Austria,Vienna,48.2,16.366667,AT,Europe
Azerbaijan,Baku,40.38333333333333,49.866667,AZ,Europe
Bahamas,Nassau,25.083333333333332,-77.350000,BS,North America
Bahrain,Manama,26.233333333333334,50.566667,BH,Asia
Bangladesh,Dhaka,23.716666666666665,90.400000,BD,Asia
Barbados,Bridgetown,13.1,-59.616667,BB,North America
Belarus,Minsk,53.9,27.566667,BY,Europe
Belgium,Brussels,50.833333333333336,4.333333,BE,Europe
Belize,Belmopan,17.25,-88.766667,BZ,Central America
Benin,Porto-Novo,6.483333333333333,2.616667,BJ,Africa
Bermuda,Hamilton,32.28333333333333,-64.783333,BM,North America
Bhutan,Thimphu,27.466666666666665,89.633333,BT,Asia
Bolivia,La Paz,-16.5,-68.150000,BO,South America
Bosnia and Herzegovina,Sarajevo,43.86666666666667,18.416667,BA,Europe
Botswana,Gaborone,-24.633333333333333,25.900000,BW,Africa
Brazil,Brasilia,-15.783333333333333,-47.916667,BR,South America
British Virgin Islands,Road Town,18.416666666666668,-64.616667,VG,North America
Brunei Darussalam,Bandar Seri Begawan,4.883333333333333,114.933333,BN,Asia
Bulgaria,Sofia,42.68333333333333,23.316667,BG,Europe
Burkina Faso,Ouagadougou,12.366666666666667,-1.516667,BF,Africa
Myanmar,Rangoon,16.8,96.150000,MM,Asia
Burundi,Bujumbura,-3.3666666666666667,29.350000,BI,Africa
Cambodia,Phnom Penh,11.55,104.916667,KH,Asia
Cameroon,Yaounde,3.8666666666666667,11.516667,CM,Africa
Canada,Ottawa,45.416666666666664,-75.700000,CA,Central America
Cape Verde,Praia,14.916666666666666,-23.516667,CV,Africa
Cayman Islands,George Town,19.3,-81.383333,KY,North America
Central African Republic,Bangui,4.366666666666666,18.583333,CF,Africa
Chad,N'Djamena,12.1,15.033333,TD,Africa
Chile,Santiago,-33.45,-70.666667,CL,South America
China,Beijing,39.916666666666664,116.383333,CN,Asia
Christmas Island,The Settlement,-10.416666666666666,105.716667,CX,Australia
Cocos Islands,West Island,-12.166666666666666,96.833333,CC,Australia
Colombia,Bogota,4.6,-74.083333,CO,South America
Comoros,Moroni,-11.7,43.233333,KM,Africa
Democratic Republic of the Congo,Kinshasa,-4.316666666666666,15.300000,CD,Africa
Republic of Congo,Brazzaville,-4.25,15.283333,CG,Africa
Cook Islands,Avarua,-21.2,-159.766667,CK,Australia
Costa Rica,San Jose,9.933333333333334,-84.083333,CR,Central America
Cote d'Ivoire,Yamoussoukro,6.816666666666666,-5.266667,CI,Africa
Croatia,Zagreb,45.8,16.000000,HR,Europe
Cuba,Havana,23.116666666666667,-82.350000,CU,North America
